Hero,rank 123 pick,rank 123 Win Rate,rank 4 pick,rank 4 Win Rate,rank 5 pick,rank 5 Win Rate,rank 6 pick,rank 6 Win Rate,rank 78 pick,rank 78 Win Rate
Warlock,5.464,51.0799,5.3696,51.8997,4.8539,51.8797,4.26,49.7231,2.8978,49.6091
Dark Willow,5.4557,50.5999,6.3495,50.3503,6.976,51.1258,7.6278,51.9556,8.4816,51.8378
Tidehunter,5.2842,50.0087,5.7212,50.9009,4.9417,50.8413,3.8611,50.3324,2.7312,49.9512
Centaur Warrunner,5.2058,49.876,6.6469,50.204,7.346,50.5686,8.5742,51.1814,12.4293,50.3269
Tiny,5.0444,43.7762,5.1764,42.7672,5.5138,42.9688,6.0501,43.6238,7.1786,46.121
Phoenix,4.9264,51.8248,7.3864,52.6041,9.3006,52.6161,11.5153,52.3407,16.497,54.1592
Abaddon,4.8582,51.8694,4.6658,52.32,4.3808,51.6917,4.2184,50.1644,3.949,49.224
Treant Protector,4.825,49.7611,4.84,49.0134,4.7404,49.736,4.5084,49.569,3.568,49.2531
Winter Wyvern,4.801,47.3401,5.6865,48.8835,6.7181,49.6275,8.9114,50.5917,12.4293,50.4448
Naga Siren,4.6719,54.8845,3.9865,50.9051,3.8191,52.7923,4.4272,51.4652,6.1394,53.0164
Death Prophet,4.6498,48.5227,4.7548,50.3138,5.2205,51.851,6.3366,53.3669,10.0098,53.0014
Pangolier,4.5447,45.7496,6.738,47.6566,9.3922,47.1306,11.4904,47.7748,15.8601,49.3363
Sand King,4.3926,50.1679,4.7966,49.0384,5.0006,48.4871,4.933,48.7904,4.2927,47.7343
Tusk,4.2921,45.6068,5.1211,47.3405,5.5196,48.6712,5.9474,49.7666,7.6329,49.7818
Clinkz,4.0468,44.8849,3.3663,48.2269,3.5504,48.5144,3.6786,47.6801,3.4027,47.2983
Gyrocopter,3.8347,45.5397,3.8188,45.5385,3.9896,46.4633,4.0449,45.1801,4.5126,45.9698
Enchantress,3.8227,44.6454,2.6408,46.3324,2.1571,45.0294,2.1459,45.9424,3.472,46.5464
Outworld Devourer,3.689,42.9892,4.9442,44.5785,5.6871,46.1887,6.5989,46.483,7.7648,45.7961
Puck,3.4659,45.6238,4.6908,45.6448,6.208,47.0759,7.9671,48.2278,10.7892,48.1476
Nyx Assassin,3.4594,48.614,4.6132,50.0588,5.7541,51.0638,6.7758,51.5564,8.2285,51.5705
Night Stalker,3.4133,49.7298,3.8991,51.8229,3.8657,53.3512,4.0512,51.9095,3.528,51.0196
Terrorblade,3.4041,48.3477,3.5323,48.387,3.8422,49.038,5.0614,47.8684,9.245,49.5604
Bane,3.3848,50.9397,4.0467,51.676,4.8482,53.7123,6.4331,54.3464,9.5182,55.5291
Io,3.311,44.8621,3.3912,44.0,3.1684,44.4835,3.1277,46.4729,3.6026,47.5961
Lycan,3.2188,51.5325,3.656,53.7102,4.4994,54.7788,6.4241,58.9048,10.3096,60.5712
Lone Druid,3.1773,51.2768,3.6739,52.4737,4.1163,53.8814,4.6451,52.4271,4.4526,53.6804
Enigma,3.1413,49.4863,3.1205,49.0001,2.7834,49.9723,2.3694,50.8052,2.4315,52.4383
Doom,3.0906,42.9594,3.2133,44.4951,3.1557,43.6745,2.948,43.5396,2.4941,43.9102
Magnus,2.9191,43.209,4.3782,45.1233,4.72,44.4208,4.7013,45.6316,3.3135,45.1548
Omniknight,2.8232,47.8772,2.5898,48.8162,2.0073,48.9451,1.629,48.6797,1.4975,48.9323
Earth Spirit,2.4876,46.4047,3.7738,45.248,4.775,45.9163,5.8947,46.8691,7.1506,46.8418
Broodmother,2.3733,50.0388,2.3673,50.9282,2.5101,52.9601,2.9223,54.3209,3.007,54.3642
Oracle,2.3502,44.6449,3.477,45.8801,4.3723,46.6232,5.8995,48.1712,8.4856,47.9824
Dark Seer,2.3087,51.0383,2.5247,51.6011,2.5809,52.7595,2.7183,53.0883,2.9631,51.2589
Shadow Demon,2.1677,45.2573,2.7933,45.8818,3.1373,47.8463,3.6286,48.2026,5.3666,50.0496
Leshrac,2.0626,41.8417,2.3294,42.6042,2.5163,46.2362,3.0632,46.2061,4.9309,49.6352
Beastmaster,1.7924,49.2798,2.9165,53.4139,4.2395,54.1318,6.6412,55.5474,11.2809,55.9702
Batrider,1.6688,43.8674,2.0179,45.7112,2.2048,45.2418,3.0278,48.8084,6.5724,49.3411
Arc Warden,1.631,43.7535,1.7428,47.0423,1.7832,45.0777,1.7297,46.8912,1.5228,44.0944
Elder Titan,1.5923,48.5813,1.6364,48.9058,1.6654,50.2773,1.7401,51.555,1.8506,49.172
Brewmaster,1.5361,48.9195,1.8757,49.8987,2.0558,50.5617,2.5581,48.2234,3.1936,48.2686
Visage,0.9856,48.4565,1.0922,52.3099,1.2077,52.4705,1.6977,56.4364,1.9878,54.8927
Chen,0.9635,48.0382,1.077,50.277,1.3293,51.81,2.1654,52.7715,5.8183,53.6981
